pred,prob,id
<=50K,0.3862585,20901
<=50K,0.3747553,14170
>50K,0.939372,1776
<=50K,0.08848933,30428
<=50K,0.1935191,8602
<=50K,0.3747553,13269
<=50K,0.08848933,24221
>50K,0.8060671,746
<=50K,0.10069483,24034
<=50K,0.3747553,5658
<=50K,0.08848933,28379
<=50K,0.11214182,28723
<=50K,0.13236292,22817
<=50K,0.08858621,19185
<=50K,0.12988754,25370
<=50K,0.3747553,19528
<=50K,0.15568388,29633
<=50K,0.3747553,20767
>50K,0.7393224,12567
<=50K,0.093025155,18436
<=50K,0.08848933,24047
>50K,0.9383121,414
<=50K,0.088957675,18489
<=50K,0.08857555,12681
<=50K,0.093025155,28664
<=50K,0.372592,10931
<=50K,0.09230103,4711
<=50K,0.40504003,21309
<=50K,0.37209374,30104
>50K,0.9408617,1676
<=50K,0.08857555,28040
<=50K,0.0939507,19156
<=50K,0.09292273,8144
<=50K,0.08848933,23384
<=50K,0.1353428,26114
>50K,0.94146305,2626
<=50K,0.093025155,27745
<=50K,0.08848933,15760
>50K,0.74448895,7439
<=50K,0.40352008,12212
<=50K,0.09320075,24481
<=50K,0.40352008,8348
<=50K,0.40352008,3543
<=50K,0.3747553,19536
<=50K,0.4637428,801
<=50K,0.3747553,32008
<=50K,0.10647429,4899
<=50K,0.088673644,5048
<=50K,0.09742152,19662
<=50K,0.40352008,1205
>50K,0.7393224,18253
<=50K,0.13202074,31373
>50K,0.74158263,17841
<=50K,0.08858621,16636
<=50K,0.093025155,19130
<=50K,0.15339231,216
<=50K,0.0924152,4109
<=50K,0.23350532,5930
<=50K,0.08848933,24906
>50K,0.76785606,20256
<=50K,0.0924152,31981
<=50K,0.09230103,30798
<=50K,0.3747553,5326
<=50K,0.22710185,21217
<=50K,0.21058182,10064
<=50K,0.092589766,25463
<=50K,0.41531974,15476
>50K,0.7393224,3665
<=50K,0.09048066,3097
<=50K,0.12988754,17798
<=50K,0.112809084,9278
>50K,0.7396576,20186
>50K,0.9411466,2001
<=50K,0.3747553,29121
<=50K,0.3747553,18316
<=50K,0.08848933,28780
<=50K,0.29624525,22127
<=50K,0.08848933,7922
<=50K,0.13157341,22389
<=50K,0.093025155,22146
<=50K,0.08848933,25891
<=50K,0.1029292,32304
<=50K,0.13483198,4011
<=50K,0.1304452,29857
<=50K,0.21928678,21565
<=50K,0.08848933,24369
>50K,0.93203485,1564
<=50K,0.13323534,1000
>50K,0.7394775,22066
<=50K,0.08848933,7615
<=50K,0.08858621,7921
<=50K,0.09302396,15985
>50K,0.7368971,23570
<=50K,0.08858621,19590
<=50K,0.3747553,21351
>50K,0.94146305,2058
<=50K,0.2264701,31500
>50K,0.7376728,22340
<=50K,0.13523288,21088
<=50K,0.10389177,21389
<=50K,0.08867249,11708
<=50K,0.09302396,19222
<=50K,0.3747553,1147
<=50K,0.09468763,12098
>50K,0.93937224,1663
<=50K,0.23592561,31165
>50K,0.9384187,2270
<=50K,0.2394745,31807
<=50K,0.2613535,8253
<=50K,0.08955746,10654
<=50K,0.09307439,12566
>50K,0.74125713,31743
<=50K,0.093025155,21380
<=50K,0.13174394,14329
<=50K,0.36865225,276
<=50K,0.09219933,29922
<=50K,0.21928678,20253
<=50K,0.093025155,13765
<=50K,0.40352008,27616
<=50K,0.09203374,23354
<=50K,0.23835921,14011
<=50K,0.3747553,27626
>50K,0.7668346,19397
<=50K,0.08848933,10828
<=50K,0.12758188,21188
<=50K,0.08858621,28802
<=50K,0.08848933,9807
<=50K,0.1304452,28213
<=50K,0.13291304,17384
<=50K,0.08858621,20165
<=50K,0.13213682,21748
<=50K,0.08848933,22048
<=50K,0.092589766,4990
<=50K,0.26951173,27752
<=50K,0.10407415,6498
<=50K,0.40352008,15827
<=50K,0.09320075,991
<=50K,0.30525815,43
<=50K,0.11723533,27500
<=50K,0.09320075,6007
>50K,0.8273572,812
<=50K,0.08858734,22938
<=50K,0.08858734,20716
<=50K,0.10974686,23075
<=50K,0.13684967,18904
<=50K,0.13640566,2998
>50K,0.76297015,22729
>50K,0.76269954,5118
<=50K,0.093252935,5932
<=50K,0.093878716,26050
>50K,0.69966274,32251
<=50K,0.2282844,14573
<=50K,0.08848933,9443
<=50K,0.093025155,24698
<=50K,0.4012974,19592
<=50K,0.08858734,32072
<=50K,0.08848933,13256
<=50K,0.38308752,25119
<=50K,0.3747553,12210
<=50K,0.08848933,4452
<=50K,0.08955746,22254
<=50K,0.40352008,9065
<=50K,0.08848933,15019
<=50K,0.093025155,10512
<=50K,0.40352008,7530
<=50K,0.11325675,13819
>50K,0.7393224,24292
>50K,0.7376728,30538
<=50K,0.2613535,32332
<=50K,0.08848933,9733
>50K,0.705302,27311
>50K,0.74448895,12436
>50K,0.6733125,25063
<=50K,0.09309576,30371
>50K,0.7396576,18970
<=50K,0.093025155,25806
<=50K,0.30243063,15649
<=50K,0.30243063,30134
<=50K,0.08848933,6046
<=50K,0.21928678,19155
<=50K,0.093025155,7938
>50K,0.94146305,2106
<=50K,0.12718938,19556
<=50K,0.10439212,4639
<=50K,0.12571137,27402
<=50K,0.08848933,8571
>50K,0.94061357,3031
<=50K,0.093025155,21086
<=50K,0.18971595,15072
>50K,0.93971014,823
<=50K,0.3747553,12496
>50K,0.9401337,2210
<=50K,0.38406965,30964
<=50K,0.40352008,24909
<=50K,0.27190366,16911
<=50K,0.09230103,23653
<=50K,0.093199566,23483
<=50K,0.08858734,25533
<=50K,0.093025155,12183
<=50K,0.42220053,29608
>50K,0.73608047,3375
<=50K,0.15713498,9510
>50K,0.74448895,28893
<=50K,0.3747553,20967
>50K,0.94146305,2440
<=50K,0.10398081,339
>50K,0.93827385,376
<=50K,0.40352008,13362
<=50K,0.102303244,6790
<=50K,0.13260867,5660
<=50K,0.09292273,20914
>50K,0.94146305,2127
<=50K,0.09248777,26248
<=50K,0.08857555,7000
<=50K,0.09219933,18241
<=50K,0.08965539,12238
<=50K,0.46606946,28525
<=50K,0.3747553,26091
<=50K,0.093025155,14720
<=50K,0.2683874,22870
<=50K,0.08848933,13053
<=50K,0.08848933,7824
<=50K,0.17060098,4829
>50K,0.94002277,2910
<=50K,0.08848933,1259
<=50K,0.08848933,19958
<=50K,0.13514632,15449
<=50K,0.22768958,17702
<=50K,0.08848933,23547
>50K,0.9409865,2479
>50K,0.82939404,581
<=50K,0.088673644,15664
<=50K,0.3747553,11024
>50K,0.73451334,24295
<=50K,0.08848933,31717
<=50K,0.10379858,28696
<=50K,0.08848933,31210
<=50K,0.08858621,8145
<=50K,0.09279671,20696
<=50K,0.13612005,10301
>50K,0.7835543,749
<=50K,0.40352008,21628
<=50K,0.16998324,7134
<=50K,0.40352008,23166
<=50K,0.33330145,5028
<=50K,0.19249314,10819
<=50K,0.13526951,22838
>50K,0.9392365,381
>50K,0.9396713,3051
<=50K,0.40352008,20336
<=50K,0.08848933,1093
<=50K,0.45394737,7101
<=50K,0.094866045,25948
<=50K,0.13080956,9283
<=50K,0.3747553,15622
>50K,0.7457634,11171
<=50K,0.093025155,10597
<=50K,0.08848933,30543
<=50K,0.093252935,16815
<=50K,0.40352008,7864
<=50K,0.08848933,13026
<=50K,0.19249314,20521
<=50K,0.13202074,3265
<=50K,0.13209982,17138
<=50K,0.105613455,7901
<=50K,0.13332085,27970
<=50K,0.2613535,20793
<=50K,0.10407415,28457
<=50K,0.12380078,25644
<=50K,0.3510486,15792
<=50K,0.13451053,31815
<=50K,0.26568034,21204
<=50K,0.09320075,14642
<=50K,0.21802913,4704
>50K,0.7017731,23291
>50K,0.93370247,637
<=50K,0.093025155,24422
<=50K,0.3671495,251
<=50K,0.15779339,17116
<=50K,0.0924754,11763
>50K,0.5046817,10471
<=50K,0.12988554,26270
<=50K,0.08848933,12839
<=50K,0.40352008,11112
<=50K,0.13442437,24999
<=50K,0.08867249,23352
<=50K,0.107357755,13551
<=50K,0.2264701,9648
<=50K,0.4031771,17123
>50K,0.7088355,31191
>50K,0.74125713,15236
<=50K,0.10528063,10199
<=50K,0.09320075,12468
<=50K,0.10439212,15035
<=50K,0.113724865,30151
<=50K,0.09355165,18275
<=50K,0.1935191,19458
>50K,0.9061154,1740
>50K,0.7668346,9676
<=50K,0.40352008,5063
>50K,0.7393224,19953
<=50K,0.13438378,28019
<=50K,0.13202074,19007
<=50K,0.3862585,30908
<=50K,0.121931665,15320
<=50K,0.15789178,18277
>50K,0.7328377,26701
<=50K,0.08848933,26599
<=50K,0.08858734,22471
<=50K,0.13202074,11872
<=50K,0.27486038,13448
<=50K,0.08858621,4612
<=50K,0.09320075,8072
<=50K,0.372592,32084
<=50K,0.09320075,19588
<=50K,0.09230103,22853
<=50K,0.41307703,22541
<=50K,0.21864022,30691
>50K,0.73512715,51
<=50K,0.08848933,19521
<=50K,0.21256115,20809
<=50K,0.09309576,19099
<=50K,0.3747553,25217
<=50K,0.08848933,29553
<=50K,0.08857555,25184
<=50K,0.40352008,31379
<=50K,0.19799933,30563
>50K,0.74125713,24109
<=50K,0.19409037,19088
<=50K,0.08858734,6343
<=50K,0.107959315,13799
<=50K,0.08848933,4912
<=50K,0.093025155,15606
<=50K,0.13202074,13790
<=50K,0.08848933,25043
<=50K,0.09320075,32337
<=50K,0.32548073,8923
<=50K,0.2613535,23929
>50K,0.7668346,24820
<=50K,0.08858621,14096
<=50K,0.08848933,25517
<=50K,0.3747553,13727
<=50K,0.093448706,6816
<=50K,0.11749093,7773
<=50K,0.4144385,1512
